month,korea_cpi_generated_index_2020_01_100,korea_cpi_generated_yoy_pct,korea_annual_cpi_inflation_anchor_pct,imported_beer_unit_value_usd_per_kg,imported_beer_unit_value_yoy_pct,google_trends_inflation_m物가,google_trends_dining_price,google_trends_beer_price,google_trends_alcohol_price,google_trends_consumer_sentiment,price_pressure_search_index,ob_major_price_increase_event_dummy,months_since_ob_price_event_cap6,economic_price_data_source_note
2021-09,102.336,1.996,2.5,0.8671,5.448,39.0,0.0,2.0,2.0,1.0,43.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2021-10,102.547,2.164,2.5,0.8736,0.282,45.0,0.0,3.0,1.0,1.0,49.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2021-11,102.758,2.332,2.5,0.8504,-1.461,51.0,0.0,3.0,2.0,2.0,56.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2021-12,102.97,2.5,2.5,0.8638,-1.071,56.0,0.0,3.0,3.0,1.0,62.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2022-01,103.397,2.714,5.1,0.8197,-0.655,73.0,0.0,4.0,3.0,1.0,80.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2022-02,103.827,2.929,5.1,0.8651,-0.064,73.0,0.0,4.0,2.0,0.0,79.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2022-03,104.258,3.144,5.1,0.8242,-3.434,72.0,0.0,5.0,2.0,1.0,79.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2022-04,104.691,3.359,5.1,0.9017,2.417,97.0,0.0,5.0,3.0,1.0,105.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2022-05,105.126,3.575,5.1,0.9239,6.315,95.0,0.0,6.0,3.0,1.0,104.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2022-06,105.563,3.792,5.1,0.8498,-5.344,100.0,0.0,5.0,3.0,2.0,108.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2022-07,106.001,4.009,5.1,0.8455,-3.591,95.0,0.0,5.0,2.0,1.0,102.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2022-08,106.442,4.226,5.1,0.8539,0.675,81.0,0.0,5.0,3.0,1.0,89.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2022-09,106.884,4.444,5.1,0.8362,-3.563,93.0,0.0,5.0,3.0,2.0,101.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2022-10,107.328,4.662,5.1,0.8183,-6.339,86.0,0.0,5.0,2.0,2.0,93.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2022-11,107.773,4.881,5.1,,,84.0,0.0,6.0,2.0,1.0,92.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2022-12,108.221,5.1,5.1,0.8779,1.637,87.0,0.0,5.0,2.0,1.0,94.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2023-01,108.541,4.974,3.6,0.8494,3.631,92.0,0.0,4.0,3.0,1.0,99.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2023-02,108.861,4.849,3.6,0.8844,2.23,92.0,0.0,4.0,3.0,1.0,99.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2023-03,109.182,4.723,3.6,0.9103,10.456,84.0,0.0,5.0,3.0,2.0,92.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2023-04,109.505,4.598,3.6,0.9364,3.842,78.0,1.0,6.0,2.0,1.0,87.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2023-05,109.828,4.472,3.6,0.9509,2.92,75.0,0.0,5.0,2.0,1.0,82.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2023-06,110.152,4.347,3.6,0.9317,9.634,67.0,0.0,4.0,2.0,1.0,73.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2023-07,110.477,4.222,3.6,0.9123,7.907,60.0,0.0,5.0,2.0,1.0,67.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2023-08,110.803,4.098,3.6,0.9401,10.093,57.0,0.0,5.0,2.0,1.0,64.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2023-09,111.13,3.973,3.6,0.9221,10.271,63.0,0.0,5.0,3.0,1.0,71.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2023-10,111.458,3.849,3.6,0.9251,13.056,62.0,0.0,4.0,1.0,1.0,67.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2023-11,111.787,3.724,3.6,0.8924,,69.0,0.0,5.0,2.0,1.0,76.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2023-12,112.117,3.6,3.6,0.9171,4.463,64.0,0.0,4.0,2.0,1.0,70.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2024-01,112.33,3.491,2.3,0.9535,12.245,64.0,0.0,4.0,2.0,1.0,70.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2024-02,112.543,3.382,2.3,0.9287,5.011,60.0,0.0,4.0,2.0,0.0,66.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2024-03,112.756,3.273,2.3,0.9243,1.531,68.0,0.0,4.0,1.0,1.0,73.0,0,,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2024-04,112.97,3.165,2.3,0.9117,-2.638,74.0,0.0,4.0,2.0,1.0,80.0,1,0,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2024-05,113.184,3.056,2.3,0.8919,-6.207,70.0,1.0,5.0,2.0,1.0,78.0,0,1,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2024-06,113.399,2.948,2.3,0.8901,-4.471,70.0,0.0,4.0,1.0,1.0,75.0,0,2,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2024-07,113.614,2.84,2.3,0.9033,-0.988,66.0,1.0,5.0,2.0,1.0,74.0,0,3,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2024-08,113.83,2.732,2.3,0.9174,-2.421,66.0,0.0,4.0,2.0,1.0,72.0,0,4,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2024-09,114.046,2.623,2.3,0.9204,-0.182,62.0,1.0,4.0,2.0,1.0,69.0,0,5,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2024-10,114.262,2.516,2.3,0.9089,-1.752,60.0,0.0,4.0,2.0,1.0,66.0,0,6,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2024-11,114.479,2.408,2.3,0.9161,2.66,70.0,1.0,4.0,2.0,2.0,77.0,0,6,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2024-12,114.696,2.3,2.3,0.8815,-3.883,73.0,0.0,5.0,1.0,1.0,79.0,0,6,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2025-01,114.904,2.292,2.2,0.8521,-10.631,79.0,0.0,5.0,3.0,1.0,87.0,0,6,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2025-02,115.113,2.283,2.2,0.8887,-4.304,72.0,0.0,4.0,2.0,2.0,78.0,0,6,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2025-03,115.321,2.275,2.2,0.8754,-5.292,72.0,0.0,5.0,2.0,1.0,79.0,0,6,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2025-04,115.531,2.267,2.2,0.8966,-1.659,64.0,0.0,5.0,2.0,1.0,71.0,1,0,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2025-05,115.741,2.258,2.2,0.9583,7.45,58.0,1.0,5.0,2.0,1.0,66.0,0,1,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2025-06,115.951,2.25,2.2,0.923,3.7,66.0,0.0,5.0,2.0,1.0,73.0,0,2,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2025-07,116.161,2.242,2.2,0.9006,-0.297,76.0,0.0,6.0,2.0,1.0,84.0,0,3,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2025-08,116.372,2.233,2.2,0.8993,-1.967,75.0,0.0,6.0,2.0,2.0,83.0,0,4,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2025-09,116.583,2.225,2.2,0.9047,-1.708,71.0,0.0,5.0,2.0,1.0,78.0,0,5,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2025-10,116.795,2.217,2.2,0.8888,-2.211,67.0,1.0,5.0,2.0,1.0,75.0,0,6,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2025-11,117.007,2.208,2.2,0.8943,-2.379,85.0,0.0,7.0,4.0,3.0,96.0,0,6,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
2025-12,117.219,2.2,2.2,0.9076,2.956,93.0,1.0,8.0,4.0,2.0,106.0,0,6,Comtrade HS2203 import unit value actual; Google Trends price/economy search actual; CPI index generated from annual Korea CPI inflation anchors; OB price event dummy manually coded from public price-increase reporting.
