month,news_beer_general_count,news_cass_ob_count,news_nonalc_count,news_weather_demand_count,news_festival_beer_count,news_regulation_health_price_count,news_beer_general_positive_keyword_count,news_beer_general_negative_keyword_count,news_cass_ob_positive_keyword_count,news_cass_ob_negative_keyword_count,news_nonalc_positive_keyword_count,news_nonalc_negative_keyword_count,news_weather_demand_positive_keyword_count,news_weather_demand_negative_keyword_count,news_festival_beer_positive_keyword_count,news_festival_beer_negative_keyword_count,news_regulation_health_price_positive_keyword_count,news_regulation_health_price_negative_keyword_count,news_health_trend_title_count,news_price_regulation_title_count,news_weather_title_count,news_event_title_count,news_total_index,news_sentiment_balance_proxy,news_data_source_note
2020-01,86,20,4,16,0,39,15,5,5,1,0,0,5,1,0,0,3,1,6,22,0,0,165,20,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2021-04,155,48,20,30,0,48,33,6,8,4,8,0,8,1,0,0,4,8,42,19,4,3,301,42,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2021-05,151,34,14,35,0,40,29,9,9,5,3,0,16,0,0,0,10,7,11,4,3,10,274,46,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2021-06,185,40,14,27,0,37,48,1,13,2,0,0,9,0,0,0,1,3,15,0,9,11,303,65,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2021-07,169,31,13,40,0,33,33,3,7,1,1,0,9,5,0,0,3,4,28,13,27,15,286,40,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2021-08,164,9,19,46,0,40,36,4,3,1,3,1,7,11,0,0,6,2,20,3,19,5,278,36,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2021-09,104,21,12,12,0,31,27,3,6,1,2,0,2,0,0,0,6,7,9,15,0,2,180,32,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2021-10,100,30,10,17,0,42,25,0,12,1,2,0,2,2,0,0,4,4,23,6,6,21,199,38,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2021-11,107,31,10,19,0,36,7,4,4,1,0,0,5,0,0,0,1,6,16,8,3,7,203,6,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2021-12,107,19,21,8,0,46,21,4,3,0,5,0,2,0,0,0,6,3,24,4,1,1,201,30,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2022-01,149,19,9,6,0,44,25,22,6,0,1,0,0,0,0,0,5,15,18,31,1,3,227,0,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2022-02,128,21,7,14,0,38,25,3,3,0,0,0,1,0,0,0,2,14,10,20,0,4,208,14,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2022-03,132,38,18,22,0,43,25,15,7,4,2,0,6,1,0,0,6,21,13,42,0,1,253,5,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2022-04,124,37,10,18,0,41,28,12,13,0,2,1,5,1,0,0,1,16,25,21,5,14,230,19,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2022-05,212,51,12,34,0,36,68,4,27,0,3,0,15,0,0,0,4,4,34,9,10,31,345,109,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2022-06,189,66,20,40,0,36,29,1,27,1,1,0,8,0,0,0,4,2,58,4,7,39,351,65,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2022-07,218,60,26,48,0,46,60,2,36,4,4,0,8,10,0,0,6,3,54,18,35,66,398,95,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2022-08,190,50,13,45,0,43,67,1,42,0,3,1,11,1,0,0,13,2,18,4,7,77,341,131,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2022-09,178,77,11,21,0,31,68,2,49,1,4,1,4,2,0,0,3,1,25,12,2,63,318,121,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2022-10,138,65,14,14,0,44,30,1,31,0,4,0,4,0,0,0,4,5,28,1,2,47,275,67,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2022-11,147,49,24,25,0,38,29,4,10,1,2,0,6,0,0,0,3,4,23,11,0,83,283,41,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2022-12,115,31,16,19,0,35,36,1,7,0,1,0,7,1,0,0,2,0,13,1,3,23,216,51,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2023-01,99,22,14,17,0,44,23,5,4,1,3,1,1,2,0,0,4,9,34,22,4,5,196,17,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2023-02,167,29,12,25,0,39,38,8,14,0,3,0,3,2,0,0,3,14,24,41,3,4,272,37,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2023-03,235,57,21,16,0,48,66,19,28,3,4,0,5,0,0,0,0,14,22,56,0,16,377,67,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2023-04,323,94,12,36,0,45,73,21,34,7,1,0,6,1,0,0,2,15,11,50,6,35,510,72,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2023-05,256,80,15,41,0,38,59,17,45,1,1,0,10,2,0,0,6,5,44,15,12,39,430,96,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2023-06,319,74,23,34,0,46,85,13,33,1,4,2,10,5,0,0,2,7,24,32,15,52,496,106,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2023-07,293,84,14,42,0,44,89,7,46,3,4,0,10,8,0,0,6,1,31,19,26,47,477,136,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2023-08,251,85,16,43,0,46,101,3,62,0,9,0,18,14,0,0,6,4,23,11,25,136,441,175,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2023-09,203,64,17,34,0,43,75,5,32,0,4,1,16,0,0,0,5,6,33,18,2,74,361,120,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2023-10,297,84,15,25,0,48,55,70,36,25,5,1,10,1,0,0,2,35,12,115,6,56,469,-24,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2023-11,213,66,11,27,0,43,65,19,32,0,2,0,10,1,0,0,1,13,18,44,2,24,360,77,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2023-12,149,42,14,32,0,42,22,6,11,0,2,0,5,3,0,0,6,11,19,39,7,4,279,26,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2024-01,166,40,12,19,0,44,32,27,13,0,1,0,1,0,0,0,5,2,6,11,2,15,281,23,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2024-02,127,32,19,27,0,43,28,3,7,1,2,0,9,1,0,0,6,2,54,1,2,3,248,45,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2024-03,182,72,17,31,0,39,43,12,23,1,2,0,7,0,0,0,7,1,43,6,1,16,341,68,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2024-04,278,70,9,31,0,47,80,15,33,2,5,0,15,1,0,0,12,9,22,24,2,49,435,118,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2024-05,273,96,42,37,0,37,70,18,50,1,6,0,13,0,0,0,4,1,116,10,9,63,485,123,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2024-06,300,100,27,44,0,48,80,5,46,0,4,0,17,9,0,0,5,2,70,4,18,116,519,136,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2024-07,266,90,25,42,0,40,72,15,40,7,2,0,8,9,0,0,7,5,66,12,37,128,463,93,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2024-08,111,109,16,36,0,35,46,9,80,3,4,1,16,10,0,0,4,7,31,6,37,92,307,120,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2024-09,98,89,24,42,0,45,30,1,43,0,4,1,13,7,0,0,9,6,46,9,13,59,298,84,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2024-10,98,73,18,24,0,42,22,11,40,6,5,2,5,3,0,0,1,18,24,38,8,55,255,33,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2024-11,99,58,21,43,0,42,27,2,24,1,7,1,10,1,0,0,8,10,30,11,6,15,263,61,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2024-12,99,54,16,30,0,31,28,2,14,0,2,0,4,3,0,0,3,2,29,7,3,6,230,44,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2025-01,99,39,28,18,0,45,19,6,8,0,7,0,1,0,0,0,5,7,38,4,3,4,229,27,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2025-02,99,51,19,23,0,46,17,35,14,5,8,0,5,1,0,0,11,21,27,44,5,14,238,-7,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2025-03,93,101,17,32,0,36,19,17,32,19,3,1,6,2,0,0,4,19,34,57,7,21,279,6,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2025-04,99,124,20,40,0,42,16,9,31,5,3,0,17,1,0,0,3,11,47,29,9,14,325,44,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2025-05,98,99,26,41,0,33,25,14,46,2,6,0,13,4,0,0,4,20,29,39,19,49,297,54,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2025-06,96,107,17,45,0,42,21,12,58,9,2,0,13,8,0,0,7,4,37,21,25,61,307,68,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2025-07,99,96,24,31,0,27,19,12,62,7,1,1,7,18,0,0,2,5,30,5,45,62,277,48,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2025-08,98,168,27,46,0,45,41,11,110,15,14,0,22,11,0,0,14,6,80,19,31,124,384,158,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2025-09,88,108,27,33,0,40,35,2,69,2,3,0,11,0,0,0,3,4,40,4,5,101,296,113,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2025-10,97,103,25,44,0,36,26,5,41,4,3,1,15,4,0,0,8,2,35,3,13,55,305,77,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2025-11,97,88,21,41,0,49,25,4,27,3,2,1,11,6,0,0,6,15,19,11,4,28,296,42,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
2025-12,99,70,40,40,0,45,26,2,26,1,8,1,3,7,0,0,6,8,25,4,16,12,294,50,Google News RSS cache generated by prior collection; monthly article counts by query category; deduplicated within category-month-title-link; keyword sentiment is simple title keyword count proxy.
